engine,elapsed_s,txn_index,success,latency_ms,error_message
spanner,3.23,340,1,10.544,
spanner,3.24,341,1,9.954,
spanner,3.25,342,1,11.459,
spanner,3.26,343,1,13.059,
spanner,3.27,344,1,11.950,
spanner,3.28,345,1,9.730,
spanner,3.29,346,1,6.971,
spanner,3.30,347,1,6.792,
spanner,3.31,348,1,6.243,
spanner,3.31,349,1,6.080,
spanner,3.32,350,1,8.586,
spanner,3.33,351,1,10.595,
spanner,3.34,352,1,10.291,
spanner,3.35,353,1,10.143,
spanner,3.36,354,1,9.452,
spanner,3.37,355,1,8.054,
spanner,3.38,356,1,7.238,
spanner,3.38,357,1,6.774,
spanner,3.39,358,1,9.686,
spanner,3.40,359,1,8.183,
spanner,3.41,360,1,6.526,
spanner,3.42,361,1,6.576,
spanner,3.42,362,1,6.511,
spanner,3.43,363,1,7.297,
spanner,3.44,364,1,5.963,
spanner,3.44,365,1,5.914,
spanner,3.45,366,1,6.276,
spanner,3.45,367,1,6.290,
spanner,3.46,368,1,5.809,
spanner,3.47,369,1,5.989,
spanner,3.47,370,1,6.399,
spanner,3.48,371,1,6.626,
spanner,3.49,372,1,6.362,
spanner,3.49,373,1,6.710,
spanner,3.50,374,1,6.828,
spanner,3.51,375,1,6.139,
spanner,3.51,376,1,6.853,
spanner,3.52,377,1,6.970,
spanner,3.53,378,1,9.036,
spanner,3.53,379,1,8.212,
spanner,3.54,380,1,7.079,
spanner,3.55,381,1,6.481,
spanner,3.56,382,1,7.352,
spanner,3.56,383,1,8.915,
spanner,3.57,384,1,7.004,
spanner,3.58,385,1,6.476,
spanner,3.59,386,1,6.068,
spanner,3.59,387,1,7.210,
spanner,3.60,388,1,8.017,
spanner,3.61,389,1,7.620,
spanner,3.62,390,1,8.289,
spanner,3.62,391,1,6.745,
spanner,3.63,392,1,6.991,
spanner,3.64,393,1,7.015,
spanner,3.64,394,1,7.038,
spanner,3.65,395,1,6.238,
spanner,3.66,396,1,6.345,
spanner,3.66,397,1,6.122,
spanner,3.67,398,1,6.834,
spanner,3.68,399,1,6.962,
spanner,3.68,400,1,6.131,
spanner,3.69,401,1,6.191,
spanner,3.70,402,1,6.521,
spanner,3.70,403,1,8.057,
spanner,3.71,404,1,6.873,
spanner,3.72,405,1,7.335,
spanner,3.73,406,1,7.350,
spanner,3.73,407,1,8.949,
spanner,3.74,408,1,7.167,
spanner,3.75,409,1,6.743,
spanner,3.76,410,1,6.283,
spanner,3.76,411,1,6.857,
spanner,3.77,412,1,7.296,
spanner,3.78,413,1,7.628,
spanner,3.78,414,1,8.812,
spanner,3.79,415,1,9.492,
spanner,3.80,416,1,11.942,
spanner,3.81,417,1,10.879,
spanner,3.83,418,1,9.169,
spanner,3.83,419,1,7.971,
spanner,3.84,420,1,7.775,
spanner,3.85,421,1,7.875,
spanner,3.86,422,1,8.855,
spanner,3.87,423,1,11.194,
spanner,3.88,424,1,6.946,
spanner,3.89,425,1,6.792,
spanner,3.89,426,1,7.062,
spanner,3.90,427,1,8.401,
spanner,3.91,428,1,7.614,
